siren,siret,dateCreationEtablissement,trancheEffectifsEtablissement,denominationUniteLegale,nomenclatureActivitePrincipaleUniteLegale,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,adresse,nom,location,point,latitude,longitude,altitude
310792023,31079202300031,1900-01-01,32,ARCELORMITTAL WIRE FRANCE,NAFRev2,25,,AV,DE LYON,1000,BOURG-EN-BRESSE,,24.34Z,"Arcelormittal Wire France, 25  Av De Lyon, 1000 Bourg-En-Bresse",Arcelormittal Wire Bourg-En-Bresse,"25 Avenue de Lyon, 01000 Bourg-en-Bresse, France","(46.1936249, 5.2139337, 0.0)",46.1936249,5.2139337,0.0
428593230,42859323000108,2000-07-01,32,NEXANS FRANCE,NAFRev2,2,,RUE,DES MARGUERITES,1000,BOURG-EN-BRESSE,,27.32Z,"Nexans France, 2  Rue Des Marguerites, 1000 Bourg-En-Bresse",Nexans Bourg-En-Bresse,"2 Rue des Marguerites, 01000 Bourg-en-Bresse, France","(46.2071769, 5.209502, 0.0)",46.2071769,5.209502,0.0
954506077,95450607700377,1900-01-01,42,RENAULT TRUCKS,NAFRev2,143,,AV,AMEDEE MERCIER,1000,BOURG-EN-BRESSE,,29.10Z,"Renault Trucks, 143  Av Amedee Mercier, 1000 Bourg-En-Bresse",Renault Trucks Bourg-En-Bresse,"142 Avenue Amédée Mercier, 01000 Bourg-en-Bresse, France","(46.1991772, 5.2572329, 0.0)",46.1991772,5.2572329,0.0
410286702,41028670200023,1997-02-14,32,HEXCEL COMPOSITES,NAFRev2,45,,RUE,DE LA PLAINE,1120,DAGNEUX,,13.96Z,"Hexcel Composites, 45  Rue De La Plaine, 1120 Dagneux",Hexcel Composites Dagneux,"45 Rue de la Plaine, 01120 Dagneux, France","(45.8403771, 5.065745199999999, 0.0)",45.8403771,5.065745199999999,0.0
483018370,48301837000013,2005-07-18,41,CARRIER,NAFRev2,nan,,RTE,DE THIL,1120,MONTLUEL,,28.25Z,"Carrier,  Rte De Thil, 1120 Montluel",Carrier Montluel,"1 Route de Thil, 01120 Montluel, France","(45.8451084, 5.04722, 0.0)",45.8451084,5.04722,0.0
501737472,50173747200024,2008-06-30,32,PLASTIC OMNIUM AUTO EXTERIEUR SERVICES,NAFRev2,nan,,AV,DU BOIS DES VERGNES,1150,SAINTE-JULIE,,22.29A,"Plastic Omnium Auto Exterieur Services,  Av Du Bois Des Vergnes, 1150 Sainte-Julie",Plastic Omnium Auto Exterieur Services Sainte-Julie,"01150 Sainte-Julie, France","(45.890346, 5.278176999999999, 0.0)",45.890346,5.278176999999999,0.0
722034592,72203459200104,1900-01-01,32,VERALLIA FRANCE,NAFRev2,nan,,RTE,DE GERVAIS,1150,LAGNIEU,,23.13Z,"Verallia France,  Rte De Gervais, 1150 Lagnieu",Verallia Lagnieu,"Rond-point St Gobain, 01150 Lagnieu, France","(45.908862, 5.347113999999999, 0.0)",45.908862,5.347113999999999,0.0
330263955,33026395500073,2001-01-01,32,VOLVO COMPACT EQUIPMENT SA,NAFRev2,nan,,RUE,PIERRE PINGON,1300,BELLEY,,28.92Z,"Volvo Compact Equipment Sa,  Rue Pierre Pingon, 1300 Belley",Volvo Compact Equipment Sa Belley,"Rue Pierre Pingon, 01300 Belley, France","(45.7568281, 5.6993319, 0.0)",45.7568281,5.6993319,0.0
545620114,54562011400011,1900-01-01,41,CIE INDUSTRIELLE APPLICATIONS THERMIQUES,NAFRev2,700,,AV,FALCONNIER,1350,CULOZ,,28.25Z,"Cie Industrielle Applications Thermiques, 700  Av Falconnier, 1350 Culoz",Cie Industrielle Applications Thermiques Culoz,"700 Avenue Jean Falconnier, 01350 Culoz, France","(45.84834780000001, 5.7904955, 0.0)",45.84834780000001,5.7904955,0.0
511316291,51131629100026,2009-04-08,41,LAMBERET,NAFRev2,129,,RTE,DE VONNAS,1380,SAINT-CYR-SUR-MENTHON,,29.20Z,"Lamberet, 129  Rte De Vonnas, 1380 Saint-Cyr-Sur-Menthon",Lamberet Saint-Cyr-Sur-Menthon,"Zone d'activité Les Teppes, 129 Route de Vonnas, 01380 Saint-Cyr-sur-Menthon, France","(46.276593, 4.955382, 0.0)",46.276593,4.955382,0.0
443748157,44374815700049,2006-12-20,32,MYLAN LABORATORIES SAS,NAFRev2,nan,,RTE,DE BELLEVILLE,1400,CHATILLON-SUR-CHALARONNE,,21.20Z,"Mylan Laboratories Sas,  Rte De Belleville, 1400 Chatillon-Sur-Chalaronne",Mylan Laboratories Sas Chatillon-Sur-Chalaronne,"Route de Belleville, 01400 Châtillon-sur-Chalaronne, France","(46.1165245, 4.9421525, 0.0)",46.1165245,4.9421525,0.0
344844998,34484499800023,1988-12-12,32,AKWEL SA,NAFRev2,975,,RTE,DES BURGONDES,1410,CHAMPFROMIER,,29.32Z,"Akwel Sa, 975  Rte Des Burgondes, 1410 Champfromier",Akwel Sa Champfromier,"975 Route des Burgondes, 01410 Champfromier, France","(46.1910157, 5.8130856, 0.0)",46.1910157,5.8130856,0.0
545920076,54592007600068,1900-01-01,32,ROSET SAS,NAFRev2,1,,RTE,DU PONT,1470,BRIORD,,31.09A,"Roset Sas, 1  Rte Du Pont, 1470 Briord",Roset Sas Briord,"01470 Briord, France","(45.782708, 5.459173, 0.0)",45.782708,5.459173,0.0
